2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0159.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0160.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0161.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0162.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0163.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0164.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0165.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0166.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0167.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0168.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0169.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0170.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0171.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0172.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0173.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0174.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0175.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0176.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0177.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0178.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0179.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0180.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0181.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0182.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0183.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0184.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0185.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0186.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0187.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
